word,instances,self-sim
part_nn,4317,0.6565981384396229
face_nn,3331,0.7501171342321863
tip_vb,122,0.6965975371370986
tree_nn,2287,0.7741325396230038
head_nn,3505,0.694128454951854
multitude_nn,465,0.769652086488618
land_nn,2275,0.7493792772099299
ball_nn,431,0.7319071171532393
pin_vb,110,0.735237778833849
word_nn,4305,0.7142968689256541
record_nn,411,0.7785914208689371
savage_nn,486,0.8014406881624314
lane_nn,207,0.7536245823063047
stab_nn,86,0.7587476110654067
risk_nn,282,0.7662377106869908
player_nn,129,0.7748124631222828
contemplation_nn,237,0.8625450506683823
prop_nn,116,0.775360135213546
edge_nn,443,0.7445921096982161
bit_nn,290,0.7470828705308489
rag_nn,155,0.7543640345971755
plane_nn,271,0.7247801504305221
gas_nn,151,0.7703333118840822
donkey_nn,118,0.7755295968774124
attack_nn,436,0.7641683481155186
quilt_nn,93,0.797012219046142
stroke_vb,107,0.7912126219140182
ounce_nn,205,0.7697281419917307
relationship_nn,128,0.7711922973687724
circle_vb,126,0.746705421152569
thump_nn,84,0.751130192616994
chairman_nn,144,0.7915556207183451
lass_nn,107,0.7865011076346169
bag_nn,216,0.7532097481762305
twist_nn,97,0.7374625729198513
fiction_nn,199,0.7629544484083449
graft_nn,95,0.836130642397006
