word,instances,self-sim
credo,1666,0.8554048302220123
virtus,1634,0.8160518351872872
salus,670,0.8185598743748315
consul,3979,0.8589092928802763
hostis,3075,0.8509041658862101
honor,897,0.8506973875129721
dolus,106,0.8281463343499484
titulus,45,0.8199038953492136
potestas,911,0.8333735089739437
consilium,1769,0.8454898817291041
imperator,722,0.8597008323020536
civitas,1691,0.8524232418446396
senatus,2623,0.834331465830301
dubius,422,0.8337810767067182
templum,433,0.8363917331666852
cohors,292,0.8553881965083422
licet,887,0.8384725751465355
oportet,1276,0.8617784024714485
dux,913,0.8342178071162936
necessarius,409,0.82873707173186
acerbus,148,0.8461519631311109
simplex,141,0.8508038049954412
jus,1206,0.8579808333610887
beatus,342,0.8299846260535085
pontifex,133,0.84367311178049
regnum,692,0.8596366377900286
nepos,68,0.852820269495275
nobilitas,182,0.856980437572649
sensus,428,0.8522267197823712
sacramentum,42,0.8495313847106508
voluntas,536,0.8272089061198797
sapientia,308,0.8522785704959099
humanitas,125,0.8490324490454889
ancilla,96,0.8918945503078008
poena,447,0.8664230540240959
fidelis,130,0.8392769278410864
adsumo,45,0.835564709311784
sanctus,188,0.8485393185659756
scriptura,27,0.8474872161520173
itero,32,0.844372161814282
