word,instances,self-sim
part,4317,0.6386869719626214
face,3331,0.7195751340748637
tip,122,0.6825705283687231
tree,2287,0.7784236429582345
head,3505,0.6791938241698706
multitude,465,0.7389579442631858
land,2275,0.7181046395907756
ball,431,0.7251243612271366
pin,110,0.7061176065507783
word,4305,0.7010114311787069
record,411,0.7506300113100828
savage,486,0.806604727739938
lane,207,0.7241299986185128
stab,86,0.7481056834049982
risk,282,0.7722071625990141
player,129,0.7520916462377754
contemplation,237,0.8563343921990249
prop,116,0.7338705864267192
edge,443,0.7349638482330391
bit,290,0.7105398860257646
rag,155,0.7344406125932046
plane,271,0.7150900766727979
gas,151,0.7703371201445725
donkey,118,0.7732163522444858
attack,436,0.7664008202984478
quilt,93,0.7938390910179607
stroke,107,0.7600855082877833
ounce,205,0.7701427577215767
relationship,128,0.7492120063709696
circle,126,0.7348375986190069
thump,84,0.7705334953822696
chairman,144,0.7788191416359448
lass,107,0.7576847101851255
bag,216,0.7460454815733957
twist,97,0.7108868031132057
fiction,199,0.7606973648525108
graft,95,0.8361528815107143
