word,1,2,3,4,5,6,7,8,9,10,11,12
Titel,0.889954957085084,0.80925108753983,0.771807246742802,0.704875169792844,0.652126511850468,0.635141255323582,0.592984293240345,0.593263491873101,0.581474872913905,0.632486591720219,0.691039915252055,0.622837099079031
Tier,0.882964783394422,0.85657974606367,0.814065539118142,0.768110059271844,0.751686301749592,0.74124659997288,0.693031018437752,0.688664522110811,0.678958877787767,0.724643745575309,0.776200521231994,0.723502249527242
Manschette,0.889231687886374,0.908249953239683,0.901737995079586,0.887025602454231,0.869484495284065,0.828701951829214,0.79505443239212,0.820130803887806,0.83743302547364,0.87126949786383,0.901589129833948,0.876433933908977
Kubikmeter,0.907171721959454,0.90047073422461,0.880702187911682,0.854144228546419,0.811637827813701,0.788321587044205,0.748355913412394,0.750096026628771,0.745547549780969,0.773928291242931,0.804277010292111,0.762542233422367
Entscheidung,0.881011180861802,0.857072358681235,0.813293654281656,0.770186004349318,0.736515521198533,0.715560495277087,0.660617999803276,0.676229797881023,0.666603656264223,0.712905527572706,0.758049446130822,0.698416132710659
vergönnen,0.902643328773841,0.916891155732976,0.913737436256512,0.893844296687423,0.867851949994327,0.846754100456176,0.825961111231632,0.839120397147586,0.83540463488735,0.860058785909779,0.882133724107312,0.852460222250941
aufrechterhalten,0.884445535865933,0.898304400668702,0.903037743391835,0.887901606847684,0.859284487136182,0.777775977289233,0.766196325661191,0.768359162621243,0.761706344801673,0.797954238269216,0.835212020617599,0.783094864016266
Fuß,0.881187341881108,0.831234702680275,0.75134458216291,0.680496939334963,0.632207956596087,0.598586743465422,0.563315017458145,0.582144324253504,0.572194047758143,0.618135285249757,0.67977600038758,0.613567495271551
Sensation,0.901007225273848,0.886874053008354,0.879205719188798,0.857967368735031,0.834008389114313,0.792842432876809,0.72908685550051,0.747154124467076,0.733746077433641,0.779199593378852,0.822633437081931,0.779541511982701
Seminar,0.890323328587815,0.872512275526453,0.848014075801877,0.812857104966192,0.788136817054524,0.770650025001295,0.741251051342397,0.745148844499237,0.739852990539673,0.785673901516295,0.823728647178423,0.765322974832868
Unentschlossenheit,0.885414728502752,0.904379184223316,0.917020949325038,0.914020360170124,0.893657520070414,0.863740988878103,0.804403152086227,0.824367871864537,0.826395205805965,0.861688681116542,0.889990554754408,0.852066827381944
Gesichtsausdruck,0.878051863140322,0.884245703204013,0.883869813549816,0.87712488555254,0.845056211293259,0.816367731333052,0.76464296846477,0.780075780973118,0.783538873602942,0.824500789502935,0.865177013725894,0.833011404139805
abbauen,0.883803837836998,0.891813241951038,0.895821648678749,0.882105763618898,0.861360073069412,0.792020302413244,0.769427409987178,0.762721354752089,0.748077316953711,0.783708623641218,0.824133919841441,0.760688646456464
vorliegen,0.870038209724775,0.860440051068046,0.851572540316077,0.820336445483586,0.771956785582158,0.747191411328732,0.704300610992479,0.709234828314115,0.680764188384241,0.713409174304677,0.748471890493328,0.688521381518865
Lyzeum,0.905169204933029,0.906047196193448,0.899686635619883,0.888772670443501,0.863496958164655,0.848958224589179,0.799454086727981,0.811354585588799,0.812498357353669,0.854189740727298,0.894822487818336,0.857624576650598
packen,0.846050410313469,0.837328512785382,0.807844192599525,0.760938118308579,0.711585837703405,0.686455683369748,0.631833015340416,0.644967355964773,0.630550691738946,0.677177526569571,0.716362666269589,0.661901760692905
Festspiel,0.906077671236452,0.898961979396213,0.888232804179741,0.870759123400345,0.855461587369676,0.833151504036947,0.808475866705054,0.827585297078865,0.829673227287453,0.863052890953463,0.89270836205239,0.85248425133488
Truppenteil,0.899127229389825,0.895324693406504,0.888385282291315,0.850931461492666,0.805686744211276,0.787240418748277,0.7552736756925,0.786764123396218,0.783913270142284,0.843833208289161,0.875197633668942,0.823643836484245
vorweisen,0.887704449058786,0.894346537403836,0.891066258069319,0.881852996527363,0.845368768280972,0.804447639209944,0.75368103423747,0.753699026516297,0.72081853468906,0.754401526816198,0.791329113027816,0.755928493751461
Armenhaus,0.888526675860087,0.894620921626924,0.890882358475337,0.872359591794392,0.847909871010553,0.832080064682733,0.794795793495481,0.812634894673786,0.809627702395121,0.843614778912257,0.880335423477112,0.841079137060377
Spielball,0.905244614721893,0.885191527349608,0.883474697304236,0.850450409836583,0.81634600977619,0.804549129253084,0.785268001297078,0.798211639442227,0.797976608775653,0.820878240187447,0.855167824490504,0.830644234600779
Tragfähigkeit,0.891283950583845,0.885801746921019,0.885558501460472,0.862469369196645,0.829614563638306,0.7801407560589,0.747269264762816,0.770216711975236,0.773950777665121,0.81145728051431,0.845259227420963,0.79111200513805
voranstellen,0.87549708829308,0.880888940975559,0.883780284159027,0.873837600113094,0.842854971104721,0.786684288268519,0.7551862209141,0.756771915063056,0.741142141409154,0.782583565594361,0.8236954493194,0.763595267831121
verbauen,0.879097268279823,0.869835208593429,0.855746046416205,0.832677631104535,0.767203517448046,0.717212597681885,0.677004902608853,0.682585096456258,0.676181737309885,0.71120335376349,0.758059282299872,0.710321351231546
Mulatte,0.896165295269178,0.886246293675953,0.882296213172544,0.867486836590331,0.842872709563111,0.818160661147988,0.774048459654984,0.784343334339905,0.785104740568544,0.820636824358707,0.86150447822761,0.818145278878119
abdecken,0.818218121074271,0.828111429784843,0.847466022082255,0.840320087239831,0.814404941243073,0.761903110856939,0.727711758611085,0.735032082140285,0.718567745147263,0.754870369907473,0.801937595710839,0.734331557600449
Rezeption,0.884250054716981,0.85480361605052,0.822384298637213,0.77885151164442,0.736243820150956,0.706829851000473,0.666748450162021,0.677441895210647,0.664870888940047,0.6995936326654,0.732279783702345,0.674704807255068
