word,1,2,3,4,5,6,7,8,9,10,11,12
Tier,0.896640734944305,0.879840607562315,0.848031031419827,0.804285054270737,0.789058995414905,0.779775598441594,0.739536580846989,0.735552442044708,0.727142831426984,0.768289641015981,0.816722965671524,0.768365386319914
Fuß,0.892615258259677,0.824347354322577,0.749390517046442,0.677595619406738,0.629034972079876,0.609962942895947,0.580039245464926,0.596530431047045,0.602055094902746,0.650087455844545,0.705990947305421,0.645490316424575
Entscheidung,0.878729834367866,0.870174139348442,0.833777757024292,0.786293691232769,0.753013057495967,0.736699405829958,0.69026700551601,0.704949314764162,0.706164784976527,0.747105153161214,0.786148947135401,0.733142591601749
packen,0.857403624416727,0.850928436632158,0.819304938651018,0.76572247387324,0.716159287367205,0.697366316120696,0.649148503320705,0.668276961178242,0.66163062783805,0.709859089335814,0.75052670925262,0.696448433371101
Tragfähigkeit,0.88806049440037,0.881274393688157,0.882416675981719,0.858789138354583,0.826811289507307,0.793980648218957,0.756074840227045,0.779873761650454,0.778775447483201,0.819872654029957,0.849875478312324,0.793869881915673
beimischen,0.836020646015782,0.86299925957104,0.866479368169307,0.847295247374911,0.821216445282302,0.785703286305144,0.747984125960901,0.742055205584736,0.7152139469863,0.760037889321388,0.796754381669206,0.74905871265126
Titel,0.881823166895396,0.829982309972612,0.796085766438049,0.731276409435841,0.684477991351504,0.67088180133043,0.631324781970448,0.639844899933666,0.632878628501016,0.679193875090451,0.727378810114637,0.673601297329079
Mulatte,0.891483944706046,0.893344301573863,0.886824655434645,0.869306632157673,0.846120095572423,0.830187813207288,0.794691835357354,0.813002295016049,0.820329847599068,0.847170386438934,0.880651939432311,0.842653198810703
Truppenteil,0.88825787466138,0.886598842770121,0.882488636096856,0.851885932365684,0.812700521823352,0.806640228273903,0.77908767965116,0.803832611275344,0.799936069434345,0.851697555719278,0.88528916668425,0.83655804519957
Frechheit,0.864903676803176,0.887974238884556,0.883390516668088,0.869595038496057,0.836385632704117,0.806728533226726,0.743945989819807,0.766370002567049,0.771230243240964,0.808660625978838,0.845440995201574,0.812427385874076
vorliegen,0.870314441609931,0.863540300879369,0.856795165526102,0.816581037011411,0.756578683210668,0.735637630007332,0.696796580648066,0.699774585299074,0.675781525643883,0.71312487190469,0.74508228532539,0.69548539437643
abbauen,0.822378739685966,0.842526462960702,0.84863501039262,0.832976820205266,0.801273386868147,0.764700279298883,0.740992259176878,0.753821592118878,0.743586530966254,0.783229874045803,0.82354276211789,0.760738935550818
ausspannen,0.837802959397078,0.877192047862918,0.884392660188864,0.873904392350626,0.818551562996799,0.767066658429472,0.729414253134173,0.748067421819587,0.750217863997817,0.797302110951238,0.839470111798651,0.797482825905223
vergönnen,0.884422648362194,0.899688184829734,0.895619531960371,0.867372202078935,0.826637125229822,0.777053827140754,0.74955735169213,0.764314275064638,0.761140195203748,0.801045055164352,0.833393173563148,0.797740404556266
zersetzen,0.900320888297543,0.887857641298708,0.878652880344991,0.826453414987781,0.756391444825935,0.741374278804544,0.705645901095387,0.723779288772993,0.719809055343937,0.773978286377189,0.820101058719516,0.766581875518498
Sensation,0.873290620597845,0.866174668936053,0.853193204630851,0.829321101855052,0.794846567163419,0.753902492969321,0.691336562274188,0.712034492915906,0.709126944442709,0.753829765934166,0.800961229597794,0.748156894885336
Spielball,0.890159807067249,0.87679796470389,0.880547287797175,0.853067192224506,0.830880760275642,0.820730236139582,0.790721834646478,0.805725131064114,0.817016807862153,0.841141313680217,0.870004624215432,0.849158779178566
Ausnahmegesetz,0.894121924385838,0.88928843436361,0.87243440069698,0.847616589013628,0.826187273342661,0.818775371352808,0.781974074403004,0.807106840965833,0.809833768304505,0.845988944286077,0.879115858738496,0.844451737989117
vorweisen,0.875530559886852,0.885223872730667,0.879765208637222,0.866019451953111,0.823026596584061,0.773372804783644,0.726322756224918,0.741922289159237,0.729972406999389,0.771161370731635,0.807579363224483,0.768890752459535
Rezeption,0.884491148609104,0.871069991203269,0.842625278150192,0.801020436286926,0.757955764062477,0.730527968310347,0.696715706321928,0.696862826684509,0.680755900457652,0.710221779490962,0.735592043014488,0.687644483103897
Lyzeum,0.883815771824605,0.881974687095942,0.872928238286043,0.853038999899599,0.822077953415167,0.821258159244187,0.778322672970855,0.795643409259196,0.797413076952185,0.843614752560146,0.888681543322492,0.850367193227904
voranstellen,0.821919031534323,0.834526623107083,0.849212155972865,0.837213615811179,0.801498296765913,0.75453485981096,0.72194367561396,0.732285245913299,0.717144109765246,0.762093060176264,0.803311384795047,0.733268021963893
Einreichung,0.89566460967691,0.878603992407814,0.840914808644808,0.818049267779171,0.783389741778025,0.782494390240752,0.740377793146253,0.742700675089829,0.744618767642752,0.778767862562406,0.79799495228963,0.748473792205701
abdecken,0.849214399544352,0.858664218374191,0.871536864813942,0.859021315337612,0.827160571673439,0.775429556695055,0.738015934500535,0.76420293949512,0.762573595922467,0.798225885292269,0.839844822061771,0.783553678385578
Armenhaus,0.855350265266872,0.869277580232903,0.860776958914086,0.836005017509555,0.809867052843075,0.797158293051295,0.766619587216047,0.790203171732402,0.794991324089541,0.835030886702018,0.876350334198168,0.832737342969026
Kubikmeter,0.892188298460739,0.880373817435205,0.848633196645302,0.799535999222786,0.756474172188793,0.740225056703927,0.70062952292342,0.705964404496291,0.701264794518213,0.736043448823461,0.769273576308422,0.725950285480544
Manschette,0.879684892328162,0.902462037341636,0.892352494252356,0.87311508446409,0.855400779979271,0.819263379720219,0.781868997184854,0.809050128167136,0.831122787981703,0.865113901652788,0.896852377653122,0.87176653688414
